,pii,Section_content,Spell_Check_Count,Spell_Check,Converted_Section_Content,Authors
58,S0006349518306738,#56112666600 #7005802040 designed research performed research analyzed data wrote paper,0,{}," #56112666600  and  #7005802040  designed research, performed research, analyzed data, and wrote the paper.","[{Authorseq"":1,""auid"":56112666600,""given_name_pn"":""Ben"",""surname_pn"":""Fogelson"",""initials_pn"":""B.""},{""Authorseq"":2,""auid"":7005802040,""given_name_pn"":""James P."",""surname_pn"":""Keener"",""initials_pn"":""J.P.""}]"""
59,S0006349518306799,#6603437086 #35593311100 conceived supervised study #55516435400 performed theoretical analysis computational models simulations #55516435400 wrote manuscript #6603437086 #35593311100 revised manuscript all authors approved final submitted version,1,{simulations: 'analysis'}," #6603437086  and  #35593311100  conceived and supervised the study.  #55516435400  performed the theoretical analysis, computational models, and simulations; analyzed data; and generated figures.  #55516435400  wrote the manuscript.  #6603437086  and  #35593311100  revised the manuscript. All authors approved the final submitted version.","[{Authorseq"":1,""auid"":55516435400,""given_name_pn"":""Boshuo"",""surname_pn"":""Wang"",""initials_pn"":""B.""},{""Authorseq"":2,""auid"":35593311100,""given_name_pn"":""Warren M."",""surname_pn"":""Grill"",""initials_pn"":""W.M.""},{""Authorseq"":3,""auid"":6603437086,""given_name_pn"":""Angel V."",""surname_pn"":""Peterchev"",""initials_pn"":""A.V.""}]"""
60,S0006349519301468,#36916406900 conceived supervised study #57198512251 #57192837412 performed experiments #57207844860 provided reagents #56922243600 built microscope used highresolution tracking assisted experiments analysis #57198512251 #26643411200 #36916406900 wrote manuscript input authors,2,"{reagents: 'results', microscope: 'in'}"," #36916406900  conceived and supervised the study.  #57198512251  and  #57192837412  performed all experiments.  #57207844860  provided reagents.  #56922243600  built the microscope used for high-resolution tracking and assisted with experiments and analysis.  #57198512251 ,  #26643411200 , and  #36916406900  wrote the manuscript with input from all authors.","[{Authorseq"":1,""auid"":57198512251,""given_name_pn"":""Allison M."",""surname_pn"":""Gicking"",""initials_pn"":""A.M.""},{""Authorseq"":2,""auid"":57192837412,""given_name_pn"":""Pan"",""surname_pn"":""Wang"",""initials_pn"":""P.""},{""Authorseq"":3,""auid"":57207844860,""given_name_pn"":""Chun"",""surname_pn"":""Liu"",""initials_pn"":""C.""},{""Authorseq"":4,""auid"":56922243600,""given_name_pn"":""Keith J."",""surname_pn"":""Mickolajczyk"",""initials_pn"":""K.J.""},{""Authorseq"":5,""auid"":7403156597,""given_name_pn"":""Lijun"",""surname_pn"":""Guo"",""initials_pn"":""L.""},{""Authorseq"":6,""auid"":26643411200,""given_name_pn"":""William O."",""surname_pn"":""Hancock"",""initials_pn"":""W.O.""},{""Authorseq"":7,""auid"":36916406900,""given_name_pn"":""Weihong"",""surname_pn"":""Qiu"",""initials_pn"":""W.""}]"""
61,S0006349519305582,#9845229300 charge overall direction supervision #55151292400 provided critical feedback helped shape research #57205223509 analytical calculations #57202897773 #56497615700 simulations #9845229300 #57205223509 wrote manuscript contributions authors,0,{}, #9845229300 . was in charge of overall direction and supervision.  #55151292400  provided critical feedback and helped shape the research.  #57205223509  did the analytical calculations.  #57202897773  and  #56497615700  did the simulations.  #9845229300 . and  #57205223509  wrote the manuscript with contributions from all authors.,"[{Authorseq"":1,""auid"":57205223509,""given_name_pn"":""Josip A."",""surname_pn"":""Janeš"",""initials_pn"":""J.A.""},{""Authorseq"":2,""auid"":57202897773,""given_name_pn"":""Daniel"",""surname_pn"":""Schmidt"",""initials_pn"":""D.""},{""Authorseq"":3,""auid"":56497615700,""given_name_pn"":""Robert"",""surname_pn"":""Blackwell"",""initials_pn"":""R.""},{""Authorseq"":4,""auid"":55151292400,""given_name_pn"":""Udo"",""surname_pn"":""Seifert"",""initials_pn"":""U.""},{""Authorseq"":5,""auid"":9845229300,""given_name_pn"":""Ana Sunčana"",""surname_pn"":""Smith"",""initials_pn"":""A.S.""}]"""
62,S0006349519308161,#56909943600 #36186102200 s #56909943600 carried simulations #56909943600 #36186102200 s #56909943600 #36186102200 s,1,{simulations: 'out'}, #56909943600  and  #36186102200 -S. designed the study.  #56909943600  carried out all simulations.  #56909943600  and  #36186102200 -S. analyzed the data.  #56909943600  and  #36186102200 -S. wrote the article.,"[{Authorseq"":1,""auid"":56909943600,""given_name_pn"":""Alexandra K."",""surname_pn"":""Diem"",""initials_pn"":""A.K.""},{""Authorseq"":2,""auid"":36186102200,""given_name_pn"":""Kristian"",""surname_pn"":""Valen-Sendstad"",""initials_pn"":""K.""}]"""
63,S0006349519308562,#57207604528 #6602110223 #7102888083 designed research #57207604528 #6602110223 carried patch clamp recording absorption spectroscopy flash photolysis measurements #55603662700 #57211563960 expressed purified gtacr1 mutants pichia #57207604528 #6602110223 #7102888083 analyzed results wrote manuscript,6,"{clamp: 'data', photolysis: 'point', purified: 'in', gtacr1: 'yeast', mutants: 'and', pichia: 'data'}"," #57207604528 ,  #6602110223 , and  #7102888083  designed the research.  #57207604528  and  #6602110223  carried out patch clamp recording, absorption spectroscopy, and flash photolysis measurements.  #55603662700  and  #57211563960  expressed and purified GtACR1 mutants from Pichia.  #57207604528 ,  #6602110223 , and  #7102888083  analyzed the results and wrote the manuscript.","[{Authorseq"":1,""auid"":57207604528,""given_name_pn"":""Oleg A."",""surname_pn"":""Sineshchekov"",""initials_pn"":""O.A.""},{""Authorseq"":2,""auid"":6602110223,""given_name_pn"":""Elena G."",""surname_pn"":""Govorunova"",""initials_pn"":""E.G.""},{""Authorseq"":3,""auid"":55603662700,""given_name_pn"":""Hai"",""surname_pn"":""Li"",""initials_pn"":""H.""},{""Authorseq"":4,""auid"":57211563960,""given_name_pn"":""Xin"",""surname_pn"":""Wang"",""initials_pn"":""X.""},{""Authorseq"":5,""auid"":7102888083,""given_name_pn"":""John L."",""surname_pn"":""Spudich"",""initials_pn"":""J.L.""}]"""
64,S0006349519309105,#56081675300 performed experiments contributed experimental design discussion manuscript writing #36767056500 performed md simulations #57195299529 a #55618375800 produced abs designed labeling strategy #57211125029 performed experiments #56364356700 lhm #7004155411 supervised md simulations contributed discussion #7004317241 formulated experiment contributed discussion manuscript writing #9840847200 i,7,"{md: 'in', simulations: 'simulation', abs: 'and', labeling: 'design', lhm: 'a', md: 'gene', simulations: 'simulation'}"," #56081675300  performed experiments and contributed to the experimental design, discussion, and manuscript writing.  #36767056500  performed the MD simulations.  #57195299529 -A. performed experiments.  #55618375800  produced Abs and designed the labeling strategy.  #57211125029  performed experiments.  #56364356700 l.H.-M. set sFCS methodology up.  #7004155411  supervised the MD simulations and contributed to the discussion.  #7004317241  formulated the experiment and contributed to the discussion and manuscript writing.  #9840847200 -I. supervised the experimental design and contributed to the discussion and manuscript writing.","[{Authorseq"":1,""auid"":56081675300,""given_name_pn"":""Pablo"",""surname_pn"":""Carravilla"",""initials_pn"":""P.""},{""Authorseq"":2,""auid"":36767056500,""given_name_pn"":""Leonardo"",""surname_pn"":""Darré"",""initials_pn"":""L.""},{""Authorseq"":3,""auid"":57195299529,""given_name_pn"":""Itziar R."",""surname_pn"":""Oar-Arteta"",""initials_pn"":""I.R.""},{""Authorseq"":4,""auid"":57211125029,""given_name_pn"":""Arturo G."",""surname_pn"":""Vesga"",""initials_pn"":""A.G.""},{""Authorseq"":5,""auid"":55618375800,""given_name_pn"":""Edurne"",""surname_pn"":""Rujas"",""initials_pn"":""E.""},{""Authorseq"":6,""auid"":56364356700,""given_name_pn"":""Gloria"",""surname_pn"":""de las Heras-Martínez"",""initials_pn"":""G.""},{""Authorseq"":7,""auid"":7004155411,""given_name_pn"":""Carmen"",""surname_pn"":""Domene"",""initials_pn"":""C.""},{""Authorseq"":8,""auid"":7004317241,""given_name_pn"":""Jose L."",""surname_pn"":""Nieva"",""initials_pn"":""J.L.""},{""Authorseq"":9,""auid"":9840847200,""given_name_pn"":""Jose"",""surname_pn"":""Requejo-Isidro"",""initials_pn"":""J.""}]"""
65,S0006349521002344,protein expression purification optimized carried #6504727296 #57221507428  #57195638628 #6701694860 experiments optimized recorded #57195638628 #57221507428  #57203146299 h #55913619700 #57196325604 #6701694860 analyzed #57221507428  #57195638628 #57203146299 h #55913619700 #55913619700 experiments recorded analyzed #6504727296 #57195638628 pre design experiments performed #6504727296 #57221507428  #57195638628 saxs experiments recorded analyzed #57202634404 aminoacid conservation study performed #6603955104 #57203146299 h #6602143224 #7005880979 conceived project #57203146299 h #6504727296 #7005880979 supervised research #57203146299 h #57195638628 #7005880979 wrote first draft manuscript all authors discussed results contributed final manuscript,5,"{purification: 'prediction', optimized: 'studies', optimized: 'analyzed', saxs: 'new', aminoacid: 'protein'}","Protein expression and purification was optimized and carried out by  #6504727296 ,  #57221507428 ., and  #57195638628 ;  #6701694860 R experiments were optimized and recorded by  #57195638628 ,  #57221507428 .,  #57203146299 H.,  #55913619700 ,  #57196325604 , and  #6701694860  and analyzed by  #57221507428 .,  #57195638628 ,  #57203146299 H., and  #55913619700 ;  #55913619700  experiments were recorded and analyzed by  #6504727296  and  #57195638628 ; PRE design and experiments were performed by  #6504727296 ,  #57221507428 ., and  #57195638628 ; SAXS experiments were recorded and analyzed by  #57202634404 ; the amino-acid conservation study was performed by  #6603955104 ; and  #57203146299 H.,  #6602143224 , and  #7005880979  conceived the project.  #57203146299 H.,  #6504727296 , and  #7005880979  supervised research.  #57203146299 H. managed funding.  #57195638628  and  #7005880979  wrote the first draft of the manuscript. All authors discussed results and contributed to the final manuscript.","[{Authorseq"":1,""auid"":57195638628,""given_name_pn"":""Louise"",""surname_pn"":""Pinet"",""initials_pn"":""L.""},{""Authorseq"":2,""auid"":57221507428,""given_name_pn"":""Ying Hui"",""surname_pn"":""Wang"",""initials_pn"":""Y.H.""},{""Authorseq"":3,""auid"":55913619700,""given_name_pn"":""Célia"",""surname_pn"":""Deville"",""initials_pn"":""C.""},{""Authorseq"":4,""auid"":57196325604,""given_name_pn"":""Ewen"",""surname_pn"":""Lescop"",""initials_pn"":""E.""},{""Authorseq"":5,""auid"":7005880979,""given_name_pn"":""Françoise"",""surname_pn"":""Guerlesquin"",""initials_pn"":""F.""},{""Authorseq"":6,""auid"":6602143224,""given_name_pn"":""Ali"",""surname_pn"":""Badache"",""initials_pn"":""A.""},{""Authorseq"":7,""auid"":6603955104,""given_name_pn"":""François"",""surname_pn"":""Bontems"",""initials_pn"":""F.""},{""Authorseq"":8,""auid"":6701694860,""given_name_pn"":""Nelly"",""surname_pn"":""Morellet"",""initials_pn"":""N.""},{""Authorseq"":9,""auid"":57202634404,""given_name_pn"":""Dominique"",""surname_pn"":""Durand"",""initials_pn"":""D.""},{""Authorseq"":10,""auid"":6504727296,""given_name_pn"":""Nadine"",""surname_pn"":""Assrir"",""initials_pn"":""N.""},{""Authorseq"":11,""auid"":57203146299,""given_name_pn"":""Carine"",""surname_pn"":""van Heijenoort"",""initials_pn"":""C.""}]"""
66,S0006349521002435,#7102329935 #7004235137 designed research #57191500457 #56893675100 performed research #7102329935 #7003882233 analyzed data #7102329935 #7004235137 #56893675100 #7003882233 wrote manuscript all authors read manuscript,0,{}," #7102329935  and  #7004235137  designed the research.  #57191500457  and  #56893675100  performed the research.  #7102329935  and  #7003882233  analyzed the data.  #7102329935 ,  #7004235137 ,  #56893675100 , and  #7003882233  wrote the manuscript. All authors read the manuscript.","[{Authorseq"":1,""auid"":57191500457,""given_name_pn"":""Thorsten"",""surname_pn"":""Bahrenberg"",""initials_pn"":""T.""},{""Authorseq"":2,""auid"":56893675100,""given_name_pn"":""Eliane Hadas"",""surname_pn"":""Yardeni"",""initials_pn"":""E.H.""},{""Authorseq"":3,""auid"":7003882233,""given_name_pn"":""Akiva"",""surname_pn"":""Feintuch"",""initials_pn"":""A.""},{""Authorseq"":4,""auid"":7004235137,""given_name_pn"":""Eitan"",""surname_pn"":""Bibi"",""initials_pn"":""E.""},{""Authorseq"":5,""auid"":7102329935,""given_name_pn"":""Daniella"",""surname_pn"":""Goldfarb"",""initials_pn"":""D.""}]"""
67,S0006349521003234,#57196025144 #12446622800 designed research #57196025144 performed research #57196025144 #12446622800 analyzed data wrote manuscript,0,{}, #57196025144  and  #12446622800  designed research.  #57196025144  performed research.  #57196025144  and  #12446622800  analyzed data and wrote the manuscript.,"[{Authorseq"":1,""auid"":57196025144,""given_name_pn"":""Jonathan"",""surname_pn"":""Huihui"",""initials_pn"":""J.""},{""Authorseq"":2,""auid"":12446622800,""given_name_pn"":""Kingshuk"",""surname_pn"":""Ghosh"",""initials_pn"":""K.""}]"""
68,S0006349521003350,all authors contributed design research #57215929936 performed simulations processed data all authors analyzed results wrote manuscript,1,{simulations: 'and'},All authors contributed to the design of the research.  #57215929936  performed the simulations and processed data. All authors analyzed the results and wrote the manuscript.,"[{Authorseq"":1,""auid"":57215929936,""given_name_pn"":""Matthew H."",""surname_pn"":""Zimmer"",""initials_pn"":""M.H.""},{""Authorseq"":2,""auid"":45161691800,""given_name_pn"":""Michiel J.M."",""surname_pn"":""Niesen"",""initials_pn"":""M.J.M.""},{""Authorseq"":3,""auid"":7403948500,""given_name_pn"":""Thomas F."",""surname_pn"":""Miller"",""initials_pn"":""T.F.""}]"""
69,S0006349521004458,#36083261700 #6701610422 p #36083261700 #57222307645 #57191345401 c #36164307400 #57214211199 performed experiments microscopy analyzed data #57191345401 c #7003878225 designed silico tools data analysis #57193482204 #56229757500 #7003878225 #6506978427 #6701610422 p #36083261700 #6701610422 p #6701610422 p all authors revised manuscript,2,"{microscopy: 'with', silico: 'data'}"," #36083261700  and  #6701610422 -P. conceived and designed the experiments.  #36083261700 ,  #57222307645 ,  #57191345401 -C.,  #36164307400 , and  #57214211199  performed the experiments and microscopy and analyzed the data.  #57191345401 -C. and  #7003878225  designed in silico tools for data analysis.  #57193482204 ,  #56229757500 ,  #7003878225 ,  #6506978427 , and  #6701610422 -P. contributed to data interpretation and suggested experiments.  #36083261700  and  #6701610422 -P. wrote the manuscript.  #6701610422 -P. supervised the research. All authors revised the manuscript.","[{Authorseq"":1,""auid"":36083261700,""given_name_pn"":""Izabela K."",""surname_pn"":""Piechocka"",""initials_pn"":""I.K.""},{""Authorseq"":2,""auid"":57222307645,""given_name_pn"":""Sarah"",""surname_pn"":""Keary"",""initials_pn"":""S.""},{""Authorseq"":3,""auid"":57191345401,""given_name_pn"":""Alberto"",""surname_pn"":""Sosa-Costa"",""initials_pn"":""A.""},{""Authorseq"":4,""auid"":57214211199,""given_name_pn"":""Lukas"",""surname_pn"":""Lau"",""initials_pn"":""L.""},{""Authorseq"":5,""auid"":36164307400,""given_name_pn"":""Nitin"",""surname_pn"":""Mohan"",""initials_pn"":""N.""},{""Authorseq"":6,""auid"":57193482204,""given_name_pn"":""Jelena"",""surname_pn"":""Stanisavljevic"",""initials_pn"":""J.""},{""Authorseq"":7,""auid"":56229757500,""given_name_pn"":""Kyra J.E."",""surname_pn"":""Borgman"",""initials_pn"":""K.J.E.""},{""Authorseq"":8,""auid"":6506978427,""given_name_pn"":""Melike"",""surname_pn"":""Lakadamyali"",""initials_pn"":""M.""},{""Authorseq"":9,""auid"":7003878225,""given_name_pn"":""Carlo"",""surname_pn"":""Manzo"",""initials_pn"":""C.""},{""Authorseq"":10,""auid"":6701610422,""given_name_pn"":""Maria F."",""surname_pn"":""Garcia-Parajo"",""initials_pn"":""M.F.""}]"""
70,S0006349521006007,#57191372068 #57213856031 purified protein obtained crystals #57191372068 #57205680140 #57213856031 collected data solved structures #57223237305 generated mutant purified protein performed spectroscopic studies #57212568756 #55616107800 #55512322700 generated force field succinimidyl residue #57212568756 #55512322700 carried simulation studies #57191372068 #7103401390 #16142244500 analyzed structures #57191372068 #57212568756 #7103401390 #55512322700 #16142244500 wrote manuscript,3,"{purified: 'derived', purified: '##ized', succinimidyl: 'obtained'}"," #57191372068  and  #57213856031  purified protein and obtained crystals.  #57191372068 ,  #57205680140 , and  #57213856031  collected data and solved structures.  #57223237305  generated mutant, purified protein, and performed spectroscopic studies.  #57212568756 ,  #55616107800 , and  #55512322700  generated the force field for the succinimidyl residue.  #57212568756  and  #55512322700  carried out all simulation studies.  #57191372068 ,  #7103401390 , and  #16142244500  analyzed structures.  #57191372068 ,  #57212568756 ,  #7103401390 ,  #55512322700 , and  #16142244500  wrote the manuscript.","[{Authorseq"":1,""auid"":57191372068,""given_name_pn"":""Aparna Vilas"",""surname_pn"":""Dongre"",""initials_pn"":""A.V.""},{""Authorseq"":2,""auid"":57212568756,""given_name_pn"":""Sudip"",""surname_pn"":""Das"",""initials_pn"":""S.""},{""Authorseq"":3,""auid"":57205680140,""given_name_pn"":""Asutosh"",""surname_pn"":""Bellur"",""initials_pn"":""A.""},{""Authorseq"":4,""auid"":57213856031,""given_name_pn"":""Sanjeev"",""surname_pn"":""Kumar"",""initials_pn"":""S.""},{""Authorseq"":5,""auid"":57223237305,""given_name_pn"":""Anusha"",""surname_pn"":""Chandrashekarmath"",""initials_pn"":""A.""},{""Authorseq"":6,""auid"":55616107800,""given_name_pn"":""Tarak"",""surname_pn"":""Karmakar"",""initials_pn"":""T.""},{""Authorseq"":7,""auid"":7103401390,""given_name_pn"":""Padmanabhan"",""surname_pn"":""Balaram"",""initials_pn"":""P.""},{""Authorseq"":8,""auid"":55512322700,""given_name_pn"":""Sundaram"",""surname_pn"":""Balasubramanian"",""initials_pn"":""S.""},{""Authorseq"":9,""auid"":16142244500,""given_name_pn"":""Hemalatha"",""surname_pn"":""Balaram"",""initials_pn"":""H.""}]"""
71,S0006349521006093,both authors conceived idea carried different elements data analysis wrote manuscript,0,{},"Both authors conceived the idea, carried out different elements of data analysis, and wrote the manuscript.","[{Authorseq"":1,""auid"":57219845244,""given_name_pn"":""Neil"",""surname_pn"":""Ibata"",""initials_pn"":""N.""},{""Authorseq"":2,""auid"":7004774973,""given_name_pn"":""Eugene M."",""surname_pn"":""Terentjev"",""initials_pn"":""E.M.""}]"""
72,S0006349522001886,#57195633398 #57537570600 designed project #57537570600 carried simulations performed analyses #57537570600 wrote manuscript contributions #57195633398,1,{simulations: 'out'}, #57195633398  and  #57537570600  designed the project.  #57537570600  carried out the simulations and performed all the analyses.  #57537570600  wrote the manuscript with contributions from  #57195633398 ,"[{Authorseq"":1,""auid"":57537570600,""given_name_pn"":""Sharmistha"",""surname_pn"":""Karmakar"",""initials_pn"":""S.""},{""Authorseq"":2,""auid"":57195633398,""given_name_pn"":""Jeffery B."",""surname_pn"":""Klauda"",""initials_pn"":""J.B.""}]"""
73,S0006899314012244,#40661364300 acquired analyzed data #35491235000 designed experiments wrote manuscript,0,{}," #40661364300  acquired and analyzed data.  #35491235000  designed experiments, and wrote the manuscript.","[{Authorseq"":1,""auid"":40661364300,""given_name_pn"":""Xincai"",""surname_pn"":""Ji"",""initials_pn"":""X.""},{""Authorseq"":2,""auid"":35491235000,""given_name_pn"":""Gilles E."",""surname_pn"":""Martin"",""initials_pn"":""G.E.""}]"""
74,S000689931830667X,#36726951800 #6602593978 m #7003445199 designed research performed experiments #36726951800 carried image analysis 3d reconstruction #6602085393 prepared fixed mouse brains #9036948400 generated sema6a knockout mice #36726951800 #6602593978 m #9036948400 #7003445199 wrote manuscript all authors read approved final manuscript,2,"{3d: 'and', sema6a: 'human'}"," #36726951800 ,  #6602593978 -M., and  #7003445199  designed the research and performed the experiments.  #36726951800  carried out the image analysis and 3D reconstruction.  #6602085393  prepared the fixed mouse brains.  #9036948400  generated the Sema6A knockout mice.  #36726951800 ,  #6602593978 -M.,  #9036948400 , and  #7003445199  wrote the manuscript. All the authors read and approved the final manuscript.","[{Authorseq"":1,""auid"":36726951800,""given_name_pn"":""Takuya"",""surname_pn"":""Okada"",""initials_pn"":""T.""},{""Authorseq"":2,""auid"":6602593978,""given_name_pn"":""Kazuko"",""surname_pn"":""Keino-Masu"",""initials_pn"":""K.""},{""Authorseq"":3,""auid"":6602085393,""given_name_pn"":""Fumikazu"",""surname_pn"":""Suto"",""initials_pn"":""F.""},{""Authorseq"":4,""auid"":9036948400,""given_name_pn"":""Kevin J."",""surname_pn"":""Mitchell"",""initials_pn"":""K.J.""},{""Authorseq"":5,""auid"":7003445199,""given_name_pn"":""Masayuki"",""surname_pn"":""Masu"",""initials_pn"":""M.""}]"""
75,S0008622318305852,#57208495511 conceived project #56996584100 performed experiments obtained experimental data analyzed data guidance #7403047698 #57208495511 #57194654998 performed md simulations supervision #34874690000 the manuscript written contributions authors all authors given approval final version manuscript,1,{md: 'in'}," #57208495511  conceived the project.  #56996584100  performed experiments and obtained the experimental data, and analyzed the data under the guidance of  #7403047698  and  #57208495511   #57194654998  performed the MD simulations under the supervision of  #34874690000  The manuscript was written through contributions of all authors. All authors have given approval to the final version of the manuscript.","[{Authorseq"":1,""auid"":56996584100,""given_name_pn"":""Yizhou"",""surname_pn"":""Qi"",""initials_pn"":""Y.""},{""Authorseq"":2,""auid"":57194654998,""given_name_pn"":""Jun"",""surname_pn"":""Liu"",""initials_pn"":""J.""},{""Authorseq"":3,""auid"":34874690000,""given_name_pn"":""Yalin"",""surname_pn"":""Dong"",""initials_pn"":""Y.""},{""Authorseq"":4,""auid"":7403047698,""given_name_pn"":""Xi Qiao"",""surname_pn"":""Feng"",""initials_pn"":""X.Q.""},{""Authorseq"":5,""auid"":57208495511,""given_name_pn"":""Qunyang"",""surname_pn"":""Li"",""initials_pn"":""Q.""}]"""
76,S000862231831073X,all authors given approval final version manuscript,0,{},All authors have given approval to the final version of the manuscript.,"[{Authorseq"":1,""auid"":57208873539,""given_name_pn"":""Li"",""surname_pn"":""Huang"",""initials_pn"":""L.""},{""Authorseq"":2,""auid"":54782882400,""given_name_pn"":""Jianjun"",""surname_pn"":""Li"",""initials_pn"":""J.""},{""Authorseq"":3,""auid"":57190870269,""given_name_pn"":""Zhijiang"",""surname_pn"":""Wang"",""initials_pn"":""Z.""},{""Authorseq"":4,""auid"":7502093091,""given_name_pn"":""Yibin"",""surname_pn"":""Li"",""initials_pn"":""Y.""},{""Authorseq"":5,""auid"":55589681000,""given_name_pn"":""Xiaodong"",""surname_pn"":""He"",""initials_pn"":""X.""},{""Authorseq"":6,""auid"":56870659600,""given_name_pn"":""Ye"",""surname_pn"":""Yuan"",""initials_pn"":""Y.""}]"""
77,S0008622320302621,#56660671700 conceptualization methodology writingoriginal draft preparation #57192700749 #56660671700 software data curation #54409777100 supervision writing reviewing editing #55071774400 #56660671700 #56660671700 ang #55714342300 writing reviewing editing #57201951303 visualization investigation #54409777100 #54409777100 #57203816961 #57201951303 #57200513160 visualization investigation #57208743883 #56660671700 #57208117879 #57216422804 #56660671700 visualization investigation #35203958700 #7402206768 writing reviewing editing #56895428700 supervision,4,"{curation: 'extraction', ang: '##0', visualization: 'visual', visualization: 'visual'}"," #56660671700 : Conceptualization, Methodology, Writing-Original draft preparation,  #57192700749   #56660671700 : Software, Data curation,  #54409777100 : Supervision, Writing- Reviewing and Editing,  #55071774400   #56660671700 ,  #56660671700 ang  #55714342300 : Writing- Reviewing and Editing,  #57201951303 : Visualization, Investigation,  #54409777100   #54409777100 ,  #57203816961   #57201951303 ,  #57200513160 : Visualization, Investigation.,  #57208743883   #56660671700 ,  #57208117879 ,  #57216422804   #56660671700 : Visualization, Investigation,  #35203958700 ,  #7402206768 : Writing- Reviewing and Editing,  #56895428700 : Supervision.","[{Authorseq"":1,""auid"":56660671700,""given_name_pn"":""Jie"",""surname_pn"":""Li"",""initials_pn"":""J.""},{""Authorseq"":2,""auid"":57192700749,""given_name_pn"":""Jitao"",""surname_pn"":""Li"",""initials_pn"":""J.""},{""Authorseq"":3,""auid"":57201951303,""given_name_pn"":""Yue"",""surname_pn"":""Yang"",""initials_pn"":""Y.""},{""Authorseq"":4,""auid"":55071774400,""given_name_pn"":""Jining"",""surname_pn"":""Li"",""initials_pn"":""J.""},{""Authorseq"":5,""auid"":54409777100,""given_name_pn"":""Yating"",""surname_pn"":""Zhang"",""initials_pn"":""Y.""},{""Authorseq"":6,""auid"":55714342300,""given_name_pn"":""Liang"",""surname_pn"":""Wu"",""initials_pn"":""L.""},{""Authorseq"":7,""auid"":57193647781,""given_name_pn"":""Zhang"",""surname_pn"":""Zhang"",""initials_pn"":""Z.""},{""Authorseq"":8,""auid"":57203816961,""given_name_pn"":""Maosheng"",""surname_pn"":""Yang"",""initials_pn"":""M.""},{""Authorseq"":9,""auid"":57200513160,""given_name_pn"":""Chenglong"",""surname_pn"":""Zheng"",""initials_pn"":""C.""},{""Authorseq"":10,""auid"":57208743883,""given_name_pn"":""Jiahui"",""surname_pn"":""Li"",""initials_pn"":""J.""},{""Authorseq"":11,""auid"":57208117879,""given_name_pn"":""Jin"",""surname_pn"":""Huang"",""initials_pn"":""J.""},{""Authorseq"":12,""auid"":57216422804,""given_name_pn"":""Fuyu"",""surname_pn"":""Li"",""initials_pn"":""F.""},{""Authorseq"":13,""auid"":35203958700,""given_name_pn"":""Tingting"",""surname_pn"":""Tang"",""initials_pn"":""T.""},{""Authorseq"":14,""auid"":7402206768,""given_name_pn"":""Haitao"",""surname_pn"":""Dai"",""initials_pn"":""H.""},{""Authorseq"":15,""auid"":56895428700,""given_name_pn"":""Jianquan"",""surname_pn"":""Yao"",""initials_pn"":""J.""}]"""
78,S0008622320304772,the manuscript written contributions authors all authors given approval final version manuscript #57151627900 methodology writing original draft #57206728762 methodology #57216968659 methodology #37097275500 formal analysis #57639481200 visualization formal analysis #7005106249 writing review editing #55916352300 resources #55615138000 methodology #55572632900 supervision funding acquisition #35239078200 #55916352300 conceptualization funding acquisition,1,{visualization: 'quantitative'},"The manuscript was written through contributions of all authors. All authors have given approval to the final version of the manuscript.  #57151627900 : Methodology, Writing - original draft.  #57206728762 : Methodology.  #57216968659 : Methodology.  #37097275500 : Formal analysis.  #57639481200 : Visualization, Formal analysis.  #7005106249 : Writing - review & editing.  #55916352300 : Resources.  #55615138000 : Methodology.  #55572632900 : Supervision, Funding acquisition.  #35239078200   #55916352300 : Conceptualization, Funding acquisition.","[{Authorseq"":1,""auid"":57151627900,""given_name_pn"":""Minggang"",""surname_pn"":""Yang"",""initials_pn"":""M.""},{""Authorseq"":2,""auid"":57206728762,""given_name_pn"":""Hui"",""surname_pn"":""Liu"",""initials_pn"":""H.""},{""Authorseq"":3,""auid"":57216968659,""given_name_pn"":""Caijie"",""surname_pn"":""Qiu"",""initials_pn"":""C.""},{""Authorseq"":4,""auid"":37097275500,""given_name_pn"":""Igor"",""surname_pn"":""Iatsunskyi"",""initials_pn"":""I.""},{""Authorseq"":5,""auid"":57639481200,""given_name_pn"":""Emerson"",""surname_pn"":""Coy"",""initials_pn"":""E.""},{""Authorseq"":6,""auid"":7005106249,""given_name_pn"":""Sergio"",""surname_pn"":""Moya"",""initials_pn"":""S.""},{""Authorseq"":7,""auid"":55916352300,""given_name_pn"":""Zhuo"",""surname_pn"":""Wang"",""initials_pn"":""Z.""},{""Authorseq"":8,""auid"":55615138000,""given_name_pn"":""Wenwen"",""surname_pn"":""Wu"",""initials_pn"":""W.""},{""Authorseq"":9,""auid"":55572632900,""given_name_pn"":""Xiaobing"",""surname_pn"":""Zhao"",""initials_pn"":""X.""},{""Authorseq"":10,""auid"":35239078200,""given_name_pn"":""Guocheng"",""surname_pn"":""Wang"",""initials_pn"":""G.""}]"""
